Kejadian,KELURAHAN,KECAMATAN,LUAS WILAYAH,KETINGGIAN WILAYAH,RAIN_D-1,RAINFALL_D-1,RAIN_LAST3D,ARAINFALL_LAST3D,RAIN_LAST7D,RAINFALL_LAST7D,TEPS_OF_DAY,CIPINANG HULU,STATUS_CIPINANG HULU,SUNTER HULU,STATUS_SUNTER HULU,PULO GADUNG,STATUS_PULO GADUNG
BANJIR,JATINEGARA,Cakung,6.6,11,NO,0,NO,5,NO,25,TIDAK HUJAN,90,NORMAL,105,NORMAL,330,NORMAL
BANJIR,CIPAYUNG,Cipayung,3.09,50,NO,0,NO,5,NO,25,TIDAK HUJAN,90,NORMAL,105,NORMAL,330,NORMAL
BANJIR,CIRACAS,Ciracas,9.93,44,NO,0,NO,5,NO,25,TIDAK HUJAN,90,NORMAL,105,NORMAL,330,NORMAL
BANJIR,Balekambang,Kramatjati (Kramat Jati),1.67,34,YES,66,YES,74,NO,85,HUJAN LEBAT,170,WASPADA,300,BAHAYA,580,WASPADA
BANJIR,Batu Ampar,Kramatjati (Kramat Jati),2.55,29,YES,66,YES,74,NO,85,HUJAN LEBAT,170,WASPADA,300,BAHAYA,580,WASPADA
BANJIR,Cawang,Kramatjati (Kramat Jati),1.79,21,YES,66,YES,74,NO,85,HUJAN LEBAT,170,WASPADA,300,BAHAYA,580,WASPADA
BANJIR,Cililitan,Kramatjati (Kramat Jati),1.8,26,YES,66,YES,74,NO,85,HUJAN LEBAT,170,WASPADA,300,BAHAYA,580,WASPADA
BANJIR,Dukuh,Kramatjati (Kramat Jati),1.98,39,YES,66,YES,74,NO,85,HUJAN LEBAT,170,WASPADA,300,BAHAYA,580,WASPADA
BANJIR,Kramatjati,Kramatjati (Kramat Jati),1.52,24,YES,66,YES,74,NO,85,HUJAN LEBAT,170,WASPADA,300,BAHAYA,580,WASPADA
BANJIR,KAMPUNG TENGAH,Kramatjati (Kramat Jati),2.03,28,YES,66,YES,74,NO,85,HUJAN LEBAT,170,WASPADA,300,BAHAYA,580,WASPADA
BANJIR,JATINEGARA,Cakung,6.6,11,YES,66,YES,74,NO,85,HUJAN LEBAT,170,WASPADA,300,BAHAYA,580,WASPADA
BANJIR,Kayu Manis,Matraman,0.57,14,YES,66,YES,74,NO,85,HUJAN LEBAT,170,WASPADA,300,BAHAYA,580,WASPADA
BANJIR,Kebon Manggis,Matraman,0.78,10,YES,66,YES,74,NO,85,HUJAN LEBAT,170,WASPADA,300,BAHAYA,580,WASPADA
BANJIR,Pisangan Baru,Matraman,0.66,13,YES,66,YES,74,NO,85,HUJAN LEBAT,170,WASPADA,300,BAHAYA,580,WASPADA
BANJIR,Utan Kayu Selatan,Matraman,1.12,5,YES,66,YES,74,NO,85,HUJAN LEBAT,170,WASPADA,300,BAHAYA,580,WASPADA
BANJIR,DUREN SAWIT,Duren Sawit,4.58,17,YES,66,YES,74,NO,85,HUJAN LEBAT,170,WASPADA,300,BAHAYA,580,WASPADA
BANJIR,PONDOK KELAPA,Duren Sawit,5.72,11,YES,66,YES,74,NO,85,HUJAN LEBAT,170,WASPADA,300,BAHAYA,580,WASPADA
BANJIR,GEDONG,Pasar Rebo,2.85,32,YES,66,YES,74,NO,85,HUJAN LEBAT,170,WASPADA,300,BAHAYA,580,WASPADA
BANJIR,CIPAYUNG,Cipayung,3.09,50,YES,66,YES,74,NO,85,HUJAN LEBAT,170,WASPADA,300,BAHAYA,580,WASPADA
BANJIR,CIRACAS,Ciracas,9.93,44,YES,66,YES,74,NO,85,HUJAN LEBAT,170,WASPADA,300,BAHAYA,580,WASPADA
BANJIR,CIPINANG MELAYU,Makasar,2.53,23,YES,66,YES,74,NO,85,HUJAN LEBAT,170,WASPADA,300,BAHAYA,580,WASPADA
BANJIR,MAKASAR,Makasar,1.85,22,YES,66,YES,74,NO,85,HUJAN LEBAT,170,WASPADA,300,BAHAYA,580,WASPADA
BANJIR,KEBON PALA,Makasar,2.3,17,YES,66,YES,74,NO,85,HUJAN LEBAT,170,WASPADA,300,BAHAYA,580,WASPADA
BANJIR,DUREN SAWIT,Duren Sawit,4.58,17,YES,66,YES,74,NO,85,HUJAN LEBAT,170,WASPADA,300,BAHAYA,580,WASPADA
BANJIR,PONDOK BAMBU,Duren Sawit,4.99,12,YES,66,YES,74,NO,85,HUJAN LEBAT,170,WASPADA,300,BAHAYA,580,WASPADA
BANJIR,MALAKA SARI,Duren Sawit,1.38,11,YES,66,YES,74,NO,85,HUJAN LEBAT,170,WASPADA,300,BAHAYA,580,WASPADA
BANJIR,CIPINANG MUARA,Jatinegara,1.63,14,YES,66,YES,74,NO,85,HUJAN LEBAT,170,WASPADA,300,BAHAYA,580,WASPADA
BANJIR,KAMPUNG MELAYU,Jatinegara,0.48,10,YES,66,YES,74,NO,85,HUJAN LEBAT,170,WASPADA,300,BAHAYA,580,WASPADA
BANJIR,CILILITAN,Kramatjati (Kramat Jati),1.8,26,YES,66,YES,74,NO,85,HUJAN LEBAT,170,WASPADA,300,BAHAYA,580,WASPADA
BANJIR,LUBANG BUAYA,Cipayung,3.72,26,YES,66,YES,74,NO,85,HUJAN LEBAT,170,WASPADA,300,BAHAYA,580,WASPADA
BANJIR,JATINEGARA,Cakung,6.6,11,YES,50,YES,26,NO,53,TIDAK HUJAN,165,WASPADA,230,SIAGA,660,WASPADA
BANJIR,KRAMATJATI,Kramatjati (Kramat Jati),1.52,24,YES,50,YES,26,NO,53,TIDAK HUJAN,165,WASPADA,230,SIAGA,660,WASPADA
BANJIR,JATINEGARA,Cakung,6.6,11,YES,50,YES,26,NO,53,TIDAK HUJAN,165,WASPADA,230,SIAGA,660,WASPADA
BANJIR,Kayu Manis,Matraman,0.57,14,YES,50,YES,26,NO,53,TIDAK HUJAN,165,WASPADA,230,SIAGA,660,WASPADA
BANJIR,DUREN SAWIT,Duren Sawit,4.58,17,YES,50,YES,26,NO,53,TIDAK HUJAN,165,WASPADA,230,SIAGA,660,WASPADA
BANJIR,CIPAYUNG,Cipayung,3.09,50,YES,50,YES,26,NO,53,TIDAK HUJAN,165,WASPADA,230,SIAGA,660,WASPADA
BANJIR,CIPINANG MELAYU,Makasar,2.53,23,YES,50,YES,26,NO,53,TIDAK HUJAN,165,WASPADA,230,SIAGA,660,WASPADA
BANJIR,KRAMATJATI,Kramatjati (Kramat Jati),1.52,24,YES,47,YES,103,NO,182,HUJAN SEDANG,175,WASPADA,260,BAHAYA,500,NORMAL
BANJIR,JATINEGARA,Cakung,6.6,11,YES,47,YES,103,NO,182,HUJAN SEDANG,175,WASPADA,260,BAHAYA,500,NORMAL
BANJIR,KAYU MANIS,Matraman,0.57,14,YES,47,YES,103,NO,182,HUJAN SEDANG,175,WASPADA,260,BAHAYA,500,NORMAL
BANJIR,CAWANG,Kramatjati (Kramat Jati),1.79,21,YES,41,YES,87,NO,154,HUJAN SEDANG,160,WASPADA,175,WASPADA,620,WASPADA
BANJIR,BALEKAMBANG,Kramatjati (Kramat Jati),1.67,34,YES,41,YES,87,NO,154,HUJAN SEDANG,160,WASPADA,175,WASPADA,620,WASPADA
BANJIR,CILILITAN,Kramatjati (Kramat Jati),1.8,26,YES,41,YES,87,NO,154,HUJAN SEDANG,160,WASPADA,175,WASPADA,620,WASPADA
BANJIR,BIDARA CINA,Jatinegara,1.26,19,YES,41,YES,87,NO,154,HUJAN SEDANG,160,WASPADA,175,WASPADA,620,WASPADA
BANJIR,KAMPUNG MELAYU,Jatinegara,0.48,10,YES,41,YES,87,NO,154,HUJAN SEDANG,160,WASPADA,175,WASPADA,620,WASPADA
BANJIR,CIPINANG MUARA,Jatinegara,1.63,14,YES,41,YES,87,NO,154,HUJAN SEDANG,160,WASPADA,175,WASPADA,620,WASPADA
BANJIR,KEBON MANGGIS,Matraman,0.78,10,YES,41,YES,87,NO,154,HUJAN SEDANG,160,WASPADA,175,WASPADA,620,WASPADA
BANJIR,CIPINANG MELAYU,Makasar,2.53,23,YES,41,YES,87,NO,154,HUJAN SEDANG,160,WASPADA,175,WASPADA,620,WASPADA
BANJIR,JATINEGARA,Cakung,6.6,11,YES,41,YES,87,NO,154,HUJAN SEDANG,160,WASPADA,175,WASPADA,620,WASPADA
BANJIR,KRAMATJATI,Kramatjati (Kramat Jati),1.52,24,YES,41,YES,87,NO,154,HUJAN SEDANG,160,WASPADA,175,WASPADA,620,WASPADA
BANJIR,MALAKA SARI,Duren Sawit,1.38,11,NO,0,NO,46,NO,57,TIDAK HUJAN,90,NORMAL,85,NORMAL,330,NORMAL
BANJIR,PONDOK KELAPA,Duren Sawit,5.72,11,NO,0,NO,46,NO,57,TIDAK HUJAN,90,NORMAL,85,NORMAL,330,NORMAL
BANJIR,GEDONG,Pasar Rebo,2.85,32,YES,5,NO,6.5,NO,10.5,HUJAN RINGAN,105,NORMAL,110,NORMAL,420,NORMAL
BANJIR,KAMPUNG MELAYU,Jatinegara,0.48,10,YES,5,NO,6.5,NO,10.5,HUJAN RINGAN,105,NORMAL,110,NORMAL,420,NORMAL
BANJIR,BIDARA CINA,Jatinegara,1.26,19,YES,5,NO,6.5,NO,10.5,HUJAN RINGAN,105,NORMAL,110,NORMAL,420,NORMAL
BANJIR,CILILITAN,Kramatjati (Kramat Jati),1.8,26,YES,5,NO,6.5,NO,10.5,HUJAN RINGAN,105,NORMAL,110,NORMAL,420,NORMAL
BANJIR,CAWANG,Kramatjati (Kramat Jati),1.79,21,YES,5,NO,6.5,NO,10.5,HUJAN RINGAN,105,NORMAL,110,NORMAL,420,NORMAL
BANJIR,DUREN SAWIT,Duren Sawit,4.58,17,YES,2,NO,0,NO,136.5,HUJAN RINGAN,100,NORMAL,100,NORMAL,330,NORMAL
BANJIR,PONDOK BAMBU,Duren Sawit,4.99,12,YES,2,NO,0,NO,136.5,HUJAN RINGAN,100,NORMAL,100,NORMAL,330,NORMAL
BANJIR,SUSUKAN,Ciracas,2.19,34,YES,2,NO,0,NO,136.5,HUJAN RINGAN,100,NORMAL,100,NORMAL,330,NORMAL
BANJIR,KAMPUNG MELAYU,Jatinegara,0.48,10,YES,2,NO,0,NO,136.5,HUJAN RINGAN,100,NORMAL,100,NORMAL,330,NORMAL
BANJIR,BALEKAMBANG,Kramatjati (Kramat Jati),1.67,34,NO,0,NO,9,NO,137,TIDAK HUJAN,90,NORMAL,80,NORMAL,330,NORMAL
BANJIR,CAWANG,Kramatjati (Kramat Jati),1.79,21,NO,0,NO,9,NO,137,TIDAK HUJAN,90,NORMAL,80,NORMAL,330,NORMAL
BANJIR,CILILITAN,Kramatjati (Kramat Jati),1.8,26,NO,0,NO,9,NO,137,TIDAK HUJAN,90,NORMAL,80,NORMAL,330,NORMAL
BANJIR,BIDARA CINA,Jatinegara,1.26,19,NO,0,NO,9,NO,137,TIDAK HUJAN,90,NORMAL,80,NORMAL,330,NORMAL
BANJIR,KAMPUNG MELAYU,Jatinegara,0.48,10,NO,0,NO,9,NO,137,TIDAK HUJAN,90,NORMAL,80,NORMAL,330,NORMAL
BANJIR,SUSUKAN,Ciracas,2.19,34,NO,0,NO,9,NO,137,TIDAK HUJAN,90,NORMAL,80,NORMAL,330,NORMAL
BANJIR,RAMBUTAN,Ciracas,2.09,34,YES,6.5,NO,4,NO,4,HUJAN RINGAN,75,NORMAL,215,SIAGA,360,NORMAL
BANJIR,KEBON PALA,Makasar,2.3,17,YES,14,NO,14,NO,67,HUJAN RINGAN,100,NORMAL,60,NORMAL,380,NORMAL
BANJIR,BIDARA CINA,Jatinegara,1.26,19,YES,21,NO,15,NO,15,HUJAN SEDANG,100,NORMAL,80,NORMAL,330,NORMAL
BANJIR,KAMPUNG MELAYU,Jatinegara,0.48,10,NO,0,NO,0,NO,20,TIDAK HUJAN,80,NORMAL,60,NORMAL,330,NORMAL
BANJIR,BIDARA CINA,Jatinegara,1.26,19,NO,0,NO,0,NO,20,TIDAK HUJAN,80,NORMAL,60,NORMAL,330,NORMAL
BANJIR,CAWANG,Kramatjati (Kramat Jati),1.79,21,NO,0,NO,0,NO,20,TIDAK HUJAN,80,NORMAL,60,NORMAL,330,NORMAL
BANJIR,BALEKAMBANG,Kramatjati (Kramat Jati),1.67,34,NO,0,NO,0,NO,20,TIDAK HUJAN,80,NORMAL,60,NORMAL,330,NORMAL
